Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783432590,600,,Aggregated,95.600000,84.600000,31,150,2000,3500,9800,16000,19000,21000,26000,28000,28000,6665,4536,31,2522.373650637222,1.5916998963803053,27973.892400041223,1495.2457614403602
1783432591,600,,Aggregated,104.700000,90.400000,31,130,1900,3300,9700,16000,19000,21000,27000,29000,29000,6794,4641,31,2504.6116180008157,1.5916998963803053,29226.18589992635,1485.1324698263174
1783432592,600,,Aggregated,106.200000,88.700000,30,120,1900,3300,9700,16000,19000,21000,28000,31000,31000,6916,4742,30,2474.408955103867,1.5916998963803053,30537.455199984834,1474.8953152111046
1783432593,600,,Aggregated,109.200000,89.100000,30,120,1800,3300,9600,16000,19000,21000,28000,32000,32000,7032,4832,30,2461.670872397298,1.5916998963803053,31793.6927000992,1470.4068543799772
1783432594,600,,Aggregated,111.900000,91.600000,30,120,1800,3300,9600,16000,20000,22000,31000,33000,33000,7130,4895,30,2474.191803478004,1.5916998963803053,33269.97550018132,1476.2151472650771
1783432595,600,,Aggregated,112.000000,92.900000,30,110,1800,3200,9600,16000,20000,22000,32000,33000,33000,7306,5045,30,2453.419861839261,1.5916998963803053,33401.85150015168,1462.9125376402956
1783432596,600,,Aggregated,111.100000,90.100000,30,110,1700,3200,9600,16000,20000,22000,33000,35000,35000,7434,5139,30,2461.975382216448,1.5916998963803053,34992.17870016582,1463.5104923325262
1783432597,600,,Aggregated,116.600000,92.700000,30,110,1700,3200,9500,16000,20000,22000,34000,36000,36000,7584,5257,30,2460.4915105614614,1.5916998963803053,35678.17009985447,1463.2989187763712
1783432598,600,,Aggregated,120.700000,94.300000,30,110,1700,3200,9500,16000,20000,22000,35000,37000,37000,7720,5355,30,2472.322976035866,1.5916998963803053,36941.25010003336,1469.9198186528497
1783432599,600,,Aggregated,126.000000,96.500000,30,100,1700,3100,9400,16000,20000,22000,36000,37000,37000,7855,5456,30,2481.4757984084717,1.5916998963803053,36941.25010003336,1470.2383195416933
1783432600,600,,Aggregated,131.600000,102.400000,30,100,1700,3100,9500,16000,20000,25000,37000,38000,38000,7978,5539,30,2512.880324116048,1.5916998963803053,37809.69900009222,1478.5305841062923
1783432601,600,,Aggregated,126.800000,97.300000,30,100,1700,3100,9500,16000,21000,28000,37000,39000,39000,8097,5626,30,2531.225888662116,1.5916998963803053,39343.22789986618,1480.8619241694455
1783432602,600,,Aggregated,128.300000,98.500000,30,100,1800,3100,9600,16000,22000,32000,39000,41000,41000,8221,5698,30,2613.407314584361,1.5916998963803053,40628.76399978995,1496.4034788955114
1783432603,600,,Aggregated,128.500000,97.900000,30,110,1800,3100,9700,17000,22000,34000,40000,41000,41000,8350,5766,30,2714.412662957988,1.5916998963803053,40994.62329992093,1512.7646706586827
1783432604,600,,Aggregated,127.300000,93.800000,30,110,1900,3200,10000,17000,24000,36000,40000,43000,43000,8438,5798,30,2817.42059381354,1.5916998963803053,42545.19489989616,1535.8877696136526
1783432605,600,,Aggregated,130.100000,93.800000,30,110,1900,3200,10000,18000,32000,37000,41000,43000,43000,8579,5883,30,2913.593676547205,1.5916998963803053,43465.72789992206,1546.7507868049888
1783432606,600,,Aggregated,129.300000,89.700000,30,120,2000,3300,11000,18000,34000,39000,42000,44000,44000,8696,5930,30,3076.3528993328523,1.5916998963803053,44025.51249996759,1571.7940432382704
1783432607,600,,Aggregated,127.900000,86.100000,31,140,2200,3300,11000,19000,36000,40000,43000,45000,45000,8825,5990,31,3218.0114813936034,1.5916998963803053,45326.51589997113,1592.6082719546741
1783432608,600,,Aggregated,123.600000,79.500000,31,150,2200,3400,11000,19000,37000,40000,44000,45000,45000,8954,6055,31,3326.668817176521,1.5916998963803053,45326.51589997113,1608.536073263346
1783432609,600,,Aggregated,123.700000,74.700000,31,160,2300,3400,12000,20000,38000,40000,44000,47000,47000,9052,6105,31,3372.8644501544877,1.5916998963803053,46658.500199904665,1621.1089262041537
1783432610,600,,Aggregated,122.100000,70.200000,31,140,2200,3300,12000,20000,38000,40000,44000,47000,47000,9215,6232,31,3377.898746228673,1.5916998963803053,46658.500199904665,1616.9078676071622
1783432611,600,,Aggregated,119.600000,66.100000,31,140,2200,3300,12000,20000,38000,40000,45000,47000,47000,9334,6316,31,3399.551905538467,1.5916998963803053,46827.49199983664,1618.1481679880008
1783432612,600,,Aggregated,120.500000,66.600000,30,140,2200,3300,12000,20000,38000,41000,45000,48000,48000,9456,6405,30,3419.5951414335937,1.5916998963803053,48255.397900007665,1618.6853849407782
1783432613,600,,Aggregated,122.800000,68.400000,30,130,2200,3300,12000,20000,39000,41000,47000,51000,51000,9572,6486,30,3459.9833440549955,1.5916998963803053,51284.16229994036,1622.3113246970331
1783432614,600,,Aggregated,121.200000,68.400000,30,130,2200,3400,12000,20000,39000,41000,47000,51000,51000,9718,6588,30,3480.361171598665,1.5916998963803053,51284.16229994036,1626.0388968923646
1783432615,600,,Aggregated,119.600000,68.200000,31,130,2100,3400,12000,20000,39000,42000,48000,51000,51000,9862,6694,31,3485.244439231012,1.5916998963803053,51284.16229994036,1623.4418981950923
1783432616,600,,Aggregated,123.700000,74.700000,31,120,2100,3400,12000,20000,39000,42000,48000,51000,51000,10022,6807,31,3514.7428794546167,1.5916998963803053,51284.16229994036,1623.381959688685
1783432617,600,,Aggregated,126.300000,78.500000,31,120,2100,3400,12000,20000,39000,42000,49000,52000,52000,10132,6885,31,3515.1771062172825,1.5916998963803053,52225.740699796006,1622.7058823529412
1783432618,600,,Aggregated,129.100000,83.000000,31,120,2100,3400,12000,20000,39000,42000,49000,52000,53000,10272,6984,31,3515.6415676200477,1.5916998963803053,53067.78399995528,1622.2344236760125
1783432619,600,,Aggregated,130.600000,88.100000,31,120,2000,3400,12000,20000,39000,42000,49000,53000,54000,10397,7074,31,3507.4669622672427,1.5916998963803053,54324.15000000037,1621.9065114937
1783432620,600,,Aggregated,128.900000,89.900000,30,110,2000,3400,12000,20000,39000,42000,50000,53000,54000,10562,7198,30,3498.9111035875903,1.5916998963803053,54324.15000000037,1618.0562393486082
1783432621,600,,Aggregated,130.600000,92.700000,30,110,2000,3400,12000,20000,39000,42000,50000,53000,54000,10671,7264,30,3500.3052555142795,1.5916998963803053,54324.15000000037,1624.6685409052573
1783432622,600,,Aggregated,133.500000,95.500000,30,110,2000,3400,12000,20000,39000,42000,50000,54000,54000,10820,7376,30,3487.9011058587917,1.5916998963803053,54324.15000000037,1622.5673752310536
1783432623,600,,Aggregated,131.500000,93.900000,30,110,2000,3400,12000,20000,39000,42000,50000,54000,54000,10963,7470,30,3489.5682910783544,1.5916998963803053,54324.15000000037,1629.8128249566726
1783432624,600,,Aggregated,132.900000,94.100000,31,120,2200,3500,13000,21000,39000,42000,50000,54000,54000,11077,7516,31,3524.6825593834023,1.5916998963803053,54324.15000000037,1650.9874514760313
